
qstr_{reg1}.0|{reg1}.0
qstr_Your_studies_in_poet|Ваше обучение поэзии и красноречию оказалось продуктивным. Это, ранее приобретенное ораторское мастерство, увеличит ваше преимущество в бою, так как ваш боевой клич заставит ваших воинов стать свирепее. (Используйте клавишу 'T', чтобы использовать боевой клич)
qstr_The_exhausting_athle|Изнурительные атлетические тренировки сделали ваши войска быстрее и более маневреннее в бою. И теперь насмешка покажет эту необычную оперативность. (Используйте клавишу 'T', чтобы вызвать насмешку)
qstr_Your_incessant_conce|Ваша постоянная озабоченность, по поводу ремонта и ухода за щитами и доспехами ваших воинов, делает их более устойчивыми к получению ранений. Это защитное улучшение вызывается насмешкой. (Используйте клавишу 'T', чтобы вызвать насмешку)
qstr_{s10}Current_fleet:^|{s10}Текущий флот:^{s0}^^
qstr_{s10}Port_of_{s9}:^{|{s10}Порт {s9}:^{s0}^^
qstr_{s10}Landed_ships_nex|{s10}Корабли на якоре рядом с {s9}:^{s0}^^
qstr_On_this_day_the_fore|Сегодня бригадир не может выдать оплату и вместо этого заплатил произведенными товарами.
qstr_However_on_this_day_|Тем не менее, сегодня вы научились чему-то на своей работе.
qstr_However_on_this_day_y|Тем не менее, сегодня вы многого добились и получили двойную оплату.
qstr_However_you_befriend|Тем не менее, вы подружились с некоторыми рабочими из {s2}.
qstr_One_lord_can_disemba|Один Лорд может сойти здесь с вами.
qstr_{reg1}_lords_can_dis|{reg1} Лордов могут сойти здесь с вами.
qstr_One_lord_will_lose_t|Один Лорд может потерять вас. Он должен сойти в следующем порту и затем прибыть и найти вас.
qstr_{reg1}_lords_will_lo|{reg1} Лордов могут потерять вас. Они должны сойти в следующем порту и затем прибыть и найти вас.
qstr_One_lord_can_embark_|Один Лорд может отчалить с вами.
qstr_{reg1}_lords_can_emb|{reg1} Лордов могут отчалить с вами.
qstr_One_lord_will_lose_tr|Один Лорд может потерять вас. Он должен отчалить в следующем порту и затем прибыть и найти вас.
qstr_{reg1}_lords_will_los|{reg1} Лордов могут потерять вас. Они должны отчалить в следующем порту и затем прибыть и найти вас.
qstr_a_lone_boar|Одинокий Кабан
qstr_a_herd_of_{reg6}_boa|Стадо из {reg6} кабанов
qstr_a_herd_of_{reg6}_wil|Стадо из {reg6} диких животных
qstr_You_successfully_hun|Вы успешно поохотились на {reg6} кабанов.
qstr_You_have_lost_track_|Вы потеряли след животных.
qstr_Choose_a_Goal^^^^{s1|Выберите цель!^^^^{s1}
qstr_Congratulations!^^^^|Поздравляем!^^^^{s1}
qstr_Breaking_camp...|Свернуть лагерь...
qstr_The_poem_the_bard_ha|Стихотворение, которое бард написал для {s33}, похоже, не очень хорошо сработало.
qstr_Poem_for_a_lady|Стихотворение для леди
qstr_{s33}_seemed_to_like|{s33}, похоже, понравилось стихотворение, которое бард написал для нее.
qstr_The_bard_s_poem_abou|Стихотворение барда о вас, похоже, получило большую огласку.
qstr_Fame_spreads|Распространение славы
qstr_People_say_that_{s31|Говорят, что {s31} нашел зарытый клад Викингов на территории собственности {s32}. Лорды подрались за право собственности клада.
qstr_People_say_that_{s31}|Говорят, что {s31} или его прислуга крадут скот с территории собственности {s32}, что привело его в ярость.
qstr_People_say_that_{s31}_|Говорят, что {s31} служивший одним из телохранителей {s32} отравил кубок с медовухой. {s32} в ярости.
qstr_People_say_that_{s31}_t|Говорят, что {s31} пытался подкупить некоторых телохранителей {s32}, чтобы получить доступ к домашнему хозяйству, но {s32} обо всем узнал.
qstr_People_say_that_a_ru|Говорят, что слух, распространенный неизвестным путешественником, не смог разжечь вражду между {s31} и {s32}.
qstr_{s33}|{s33}
qstr_Rumors|Слухи
qstr_{playername}_is_beli|{playername}, как полагают, стоит за недавними унизительными слухами о {s32} и {s31}.
qstr_A_recent_rumor_alleg|Последние слухи гласят, что {s32} в бою прячется за спинами своих телохранителей.
qstr_A_recent_rumor_allege|Последние слухи гласят, что {s32} практикует какие-то извращенные ритуалы в своем поместье.
qstr_A_recent_rumor_alleges|Последние слухи гласят, что {s32} очень любит свою новую кобылу, если вы понимаете о чем я.
qstr_A_recent_rumor_alleges_|Последние слухи гласят, что {s32} предпочитает держать в руках кубок с медовухой, чем меч.
qstr_People_say_that_a_rum|Говорят, что слух, распространенный неизвестным путешественником о {s32}, не смог повредить его репутации.
qstr_{playername}_is_belie|{playername}, как полагают, стоит за недавними слухами о неблагоразумном поступке {s32}.
qstr_A_recent_rumor_sprea|Недавний слух, распространенный неизвестным путешественником, гласит, что {s32} строит козни {s31}.
qstr_People_say_that_a_rumo|Говорят, что слух, распространенный неизвестным путешественником о том, что {s32} является вероломным вассалом, не смог разжечь вражду между {s32} и {s31}.
qstr_{playername}_is_believ|{playername}, как полагают, стоит за недавними слухами о вероломстве {s32}.
qstr_It_seems_that_{s31}_|Похоже, что {s31} счел недавние слухи о неверности {s32} правдоподобными.
qstr_It_appears_{s31}_has|Похоже, что {s31} воспринял недавние слухи о неверности {s32}, как обычные сплетни своих врагов.
qstr_It_seems_that_{s31}_h|Похоже, что {s31} счел недавние слухи о вероломстве {s32} вполне правдоподобными.
qstr_It_appears_that_{s31|Похоже, что {s31} воспринял недавние слухи о вероломстве {s32}, как обычные сплетни своих врагов.
qstr_It_seems_that_{s31}_w|Похоже, что {s31} был не доволен после того, как выяснилось, что {s32} замешан в плане похищения скота.
qstr_It_appears_{s32}_had|Похоже {с32} избежал быть связанным с недавним убийством, и его отношения с {s31} не пострадали.
qstr_Winter_is_the_worst_|Зима - худшее время для войны. Холодно, частые дожди и нехватка пищи. Зимой людям бы лучше греться у огня, чем ходить в походы. Следите за боевым духом и запасами продовольствия.
qstr_{s40}_decided_to_bec|{s40} решил стать искателем приключений возле города {s39}
qstr_It_seems_your_soldie|Похоже, ваши воины хорошо провели время, используя выпивку из вашего имущества.
qstr_It_seems_someone_wen|Похоже, кто-то пробрался в ваш инвентарь и украл часть из {s33}.
qstr_{s22}|{s22}
qstr_{s33}_was_beaten_up_|{s33} был разбит и брошен в темницу разъяренной толпой в {s34}.
qstr_{s33}_s_attempts_to_|Попытки {s33} повлиять на жителей {s34} не увенчались успехом.
qstr_The_people_of_{s34}_|Жители {s34} ненавидят вас так сильно, что стража не позволила {s33} войти.
qstr_A_livestock_epidemic|Эпидемия убила {reg4} голов скота в {s4}.
qstr_A_livestock_epidemic_|Эпидемия убила {reg5} овец в {s4}.
qstr_A_livestock_epidemic_h|Эпидемия убила {reg4} голов скота и {reg5} овец в {s4}.
qstr_Your_men_made_some_d|Ваши люди сделали восхитительное масло из коровьего молока.
qstr_A_livestock_epidemic_ha|Эпидемия убила {reg5} голов вашего скота на ферме рядом с {s4}.
qstr_A_livestock_epidemic_has|Эпидемия убила {reg4} голов скота, а так же {reg5} голов вашего скота на ферме рядом с {s4}.
qstr_Your_party_is_spotte|{s1} замечает ваши войска.
qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1} {reg2?сбегают:сбегает} из вашего отряда под покровом ночи.
qstr_{s1}_of_the_{s3}_has|{s1} из {s3} освобожден из плена.
qstr_{s1}_is_no_longer_in|{s1} больше не кишит по ночам бандитами.
qstr_{s1}_has_won_the_tou|{s1} выиграл турнир в {s2}.
qstr_You_pay_for_accommod|Вы заплатили за проживание.
qstr_Congratulations!_It_|Поздравляем! Похоже, пока вы были заняты, вдали от дома, у вашей жены появился любовник - человек, известный как {s33}. Доброжелатели, что были поблизости, информировали вас о новых выросших рогах.
qstr_Adultery_discovered|Раскрыта супружеская измена
qstr__Your_tactics_skill_| Ваш навык Тактики повышается на 1.
qstr__Your_persuasion_ski| Ваш навык Убеждения повышается на 1.
qstr__Your_leadership_ski| Ваш навык Лидерства повышается на 1.
qstr__Your_intelligence_h| Ваш навык Интеллекта повышается на 1.
qstr__Your_trade_skill_ha| Ваш навык Торговли повышается на 1.
qstr__Your_weapon_master_| Ваш навык Владения оружием повышается на 1.
qstr__Your_engineer_skill| Ваш навык Инженерии повышается на 1.
qstr_You_have_finished_re|Вы закончили читать {s1}.{s2}
qstr_Book_Read|Прочесть книгу
qstr_Christian_monastery|Христианский монастырь
qstr_Christian_church|Христианская церковь
qstr_shrine_to_Norse_Gods|Святыня Скандинавских Богов
qstr_temple_to_Odin|Храм Одина
qstr_People_of_{s24}_are_|Жители {s24} недовольны вашей религиозной нетерпимостью, и разрушили {s25}.
qstr_{s1}_is_scouted.|Разведка {s1} завершена.
qstr_{s1}_has_switched_fr|{s1} сменил {s2} на {s3}.
qstr_The_merchants__rest_|Купеческий Зал Отдыха в {s1} повышает процветание.
qstr_Christian_monastery_|Христианский монастырь в {s33} улучшает христианскую веру в {s34}.
qstr_The_scriptorium_in_{|Скрипториум в {s1} повышает вашу славу.
qstr_Due_to_the_good_word|Христианские священнослужители распространили о вас добрую молву. Ваши отношения с {s1} улучшаются.
qstr_Due_to_the_bad_word_|Христианские священнослужители распространили о вас дурную молву. Ваши отношения с {s1} портятся.
qstr_Due_to_the_good_word_|Влиятельные язычники распространили о вас добрую молву. Ваши отношения с {s1} улучшаются.
qstr_Due_to_the_bad_word_i|Влиятельные язычники распространили о вас дурную молву. Ваши отношения с {s1} портятся.
qstr_{s1}_has_become_host|{s1} становится враждебным из-за вашего плохого отношения к христианской религии.
qstr_Faction_became_hosti|Королевство становится враждебным.
qstr_{s1}_has_become_hosti|{s1} становится враждебным из-за вашего плохого отношения к языческим богам.
qstr_{s13}_has_too_many_t|У {s13} в гарнизоне слишком много войск и, возможно, Главнокомандующий наберет оттуда воинов для своей армии.
qstr_most|большинство
qstr_half|половина
qstr_some|часть
qstr_few|несколько
qstr_There_are_too_many_m|В вашем Убежище слишком много людей. Некоторые из них стали недовольными и дезертировали!
qstr_Refuge_Garrison|Гарнизон убежища
qstr_The_trainer_{s11}.|Наставник {s11}.
qstr_Your_minister_{s11}.|Ваш советник - {s11}.
qstr_TEST:_I_moved_Lords_|ТЕСТ: Я переместил Лордов на остров Святой Елены.
qstr_TEST:_I_bring_Lords_|ТЕСТ: Я вернул Лордов назад.
qstr_Physicians_in_larger|Целители в крупных городах могут за плату обработать раны, после чего они заживут в течении нескольких дней. Так же, будут удалены все негативные эффекты.
qstr_You_are_wounded|Вы ранены
qstr_{s1}You_have_only_on|{s1}У вас есть лишь один день, чтобы позаботиться о {reg7} из ваших ран. Для этого посетите целителя в любом крупном городе.^^
qstr_{s1}{reg7}_of_your_i|{s1}{reg7} из ваших ран {reg8?стали постоянными:стала постоянной}, потому что о {reg8?них:ней} не позаботились.^^
qstr_{s1}{reg7}_of_your_w|{s1}{reg7} из ваших ран {reg8?были вылечены:была вылечена} и ваши способности больше не ограничиваются.
qstr_Wound_Report|Отчет о ранах
qstr_A_ship_has_been_buil|Для вас построен корабль в {s0}.
qstr_Ship_finished|Корабль построен
qstr_{s0}_has_recovered_f|{s0} восстановлена после налета.
qstr_By_now_you_have_more|В настоящий момент у вас больше одного корабля. Во время морского сражения вы можете отдать команды: 'стоять' и 'наступать' вашим кораблям, предварительно назначив их в группу - 9, подобно тому, как вы отдаете команды группам в полевых сражениях. Первые войска в вашем списке армии будут вместе с вами на флагмане. Оставшиеся - на других кораблях. Вы можете изменить ваш флагман в порту или разбив морской лагерь. Если вы находитесь рядом с побережьем, то можете разделить свой флот, разбив морской лагерь или найдя ближайшее место, куда можно причалить при нажатии левой кнопки мыши.
qstr_Ship_management|Управление кораблем
qstr_Your_troops_are_angr|Ваши войска злятся, так как ненавидят проводить ночи в море.
qstr_Your_troops_feel_une|Ваши войска тревожатся пересекая море.
qstr_Severe_weather_has_d|Суровая погода повредила {s1} ({s7}).
qstr_Severe_weather_has_de|Суровая погода разрушила {s1} ({s7}).
qstr_The_weather_changed_|Погода сменилась на: 'Штиль'
qstr_The_weather_changed_t|Погода сменилась на: 'Легкий ветерок'
qstr_The_weather_changed_to|Погода сменилась на: 'Умеренный ветер'
qstr_The_weather_changed_to:|Погода сменилась на: 'Сильный ветер'
qstr_The_weather_changed_to:_|Погода сменилась на: 'Ураган'
qstr_The_weather_changed_to:__|Погода сменилась на: 'Буря'
qstr_The_weather_changed_to:__S|Погода сменилась на: 'Шторм'
qstr_The_operation_of_the|Открытие Невольничьего Рынка в {s33} понижает вашу репутацию.
qstr__Possible_Rebellion_|(Возможно Восстание) Ходят слухи, что {s14} все еще жив.
qstr__Possible_Rebellion__|(Возможно Восстание) Ходят слухи, что {s14} тайно встречается с преданными ему людьми.
qstr__Possible_Rebellion__R|(Возможно Восстание) Ходят слухи, что народ выступает за восстановление {s14}.
qstr__Possible_Rebellion__Ru|(Возможно Восстание) Ходят слухи, что {s14} собирает армию, чтобы вернуть себе трон.
qstr__Possible_Rebellion__Rum|(Возможно Восстание) Ходят слухи, что {s14} запасается оружием.
qstr__Possible_Rebellion__Rumo|(Возможно Восстание) Ходят слухи, что {s14} запасается оружием и ищет поддержки у франков.
qstr_Congratulations!_You|Поздравляем! Вам удалось пленить 7 или более Лордов в {s13}. вы действительно - истинный мастер темниц.
qstr_Dungeon_master_Achie|Достижение: Мастер Темниц
qstr_Congratulations!_You_|Поздравляем! Вам удалось влюбить в себя 5 или более женщин. Дамы бегают за вами, чем вы должны гордиться. Продолжайте в том же духе!
qstr_Skirt_Chaser_Achieve|Достижение: Дамский Угодник
qstr_Congratulations!_You_v|Поздравляем! Вам удалось спрятать 25 или более бочек вина в свой погреб - большой подвиг, учитывая, что вы находитесь в той части мира, где более известна медовуха и эль. Либо у вас проблемы с алкоголем, либо вы истинный ценитель вин.
qstr_Wine_Connoisseur_Ach|Достижение: Винный Ценитель
qstr_{s33}_revokes_your_r|{s33} запрещает набирать новобранцев в {s34} из-за плохих отношений с вами.
qstr_The_village_leader_o|Староста запрещает набирать новобранцев в {s34} из-за плохих отношений, сложившихся между вами и жителями деревни.
qstr_fixing_banners;_plea|Установка знамени; выберете себе знамя.
qstr_unable_to_restore_ba|Невозможно выбрать знамя {reg0} назначенное отряду {reg1}
qstr_Prisoners_revolted!_|Пленники взбунтовались! Рядом с {s33}
qstr_Your_gift_sent_to_{s|Дар, который вы отправили {s13} улучшил ваши отношения с ним: {reg13}.
qstr_Gift_Sent_to_Lord|Дар для Лорда
qstr_Recruiting_warriors|Найм Новобранцев
qstr_Your_troops_feel_ref|Ваши войска чувствуют себя оживленно после ночного отдыха.
qstr_Your_men_need_rest_o|Ваши войска нуждаются в отдыхе, иначе будет падать их боевой дух.
qstr_Foragers|Фуражиры
qstr_Scouts|Разведчики
qstr_Morale|Боевой дух
qstr_Each_day_of_the_sieg|(Расходы на осаду) Каждый день осады вы должны покрывать ряд расходов - выплачивать награды, платить за рытье очистных ям, уборку конюшни, покупку и привоз воды и еды, приготовление пищи, развлечения для войск...
qstr_You_do_not_have_mone|У вас недостаточно денег, чтобы покрыть основные расходы на осаду. Это сильно подрывает боевой дух.
qstr_{reg65?my_Lady:my_Lo|{reg65?Госпожа:Господин}
qstr_{reg65?My_Lady:My_Lo|{reg65?Госпожа:Господин}
qstr_{reg65?madame:sir}|{reg65?госпожа:господин}
qstr_{reg65?Madame:Sir}|{reg65?Госпожа:Господин}
qstr_Welcome_landlubber._|Добро пожаловать, господин. Я здесь заведующий порта.
qstr_Welcome_{reg59?lady:|Добро пожаловать, {reg59?госпожа:господин} {playername}.
qstr_Welcome_{reg59?madam|Добро пожаловать, {reg59?госпожа:господин}.
qstr_Welcome.|Добро пожаловать.
qstr_Your_ship_is_in_a_ba|Ваш корабль находится в плохом состоянии. Вы должны рассмотреть возможность его ремонта здесь, в моей верфи.
qstr_The_{s7}_is_the_most|{s7} - самый славный корабль, который я когда-либо видел. Это большая честь {reg59?госпожа:господин}, находиться здесь, в этом порту.
qstr_Your_ship_is_of_poor|Ваш корабль низкого качества. Возможно, вы захотите рассмотреть возможность покупки корабля получше.
qstr_That_s_a_decent_ship|У вас достойный корабль.
qstr_Your_ship_the_{s7}_i|Ваш корабль, {s7}, прекрасен. Мои работники могли бы покрыть его свежим лаком и краской, если захотите.
qstr_The_{s7}_is_a_wonder|{s7} - это прекрасный корабль. Я счастлив видеть его в своем порту.
qstr_{s2}_{s3}|{s2} {s3}
qstr_You_are_already_in_{|Вы уже в {s1}.
qstr__and_your_troops| и ваши войска
qstr_There_is_a_ship_that|Есть корабль, который может привезти вам {s3} в порт {s1} за {reg1} шиллингов.
qstr_I_changed_my_mind.|Я передумал.
qstr_For_a_ship_of_this_s|Для корабля такого размера, мне не хватает древесины, смолы и шерсти, поэтому мне нужно, чтобы вы принесли эти дополнительные материалы.
qstr___He_indicates_the_f|--Он указывает на дальнюю сторону залива рукой.--
qstr_Now_you_must_join_th|Теперь вы должны присоединиться к флоту под руководством Свена 'Бычьей Шеи' и Харальда Харальдссона, которые вскоре покинут Рибе и отправятся в Англию. Ваша судьба снова уводит вас в чужие земли.
qstr___His_eyes_shine.__|--Его глаза сияют.--
qstr_The_port_master_of_R|Заведующий порта в Рибе рассказал вам о местоположении убежища Свена: к юго-востоку от {s3}. Нужно отправиться туда и спасти пленников с 'Вотан Рика'.
qstr___He_approaches_you_|--Он подходит ближе и вы чувствуете запах дешевого вина в его дыхании.--
qstr___He_looks_with_a_pe|--Он смотрит с превратным взглядом.--
qstr_The_port_master_of_Ri|Заведующий порта в Рибе хочет книгу под названием 'Катах Колума Килле', что в монастыре Глендалох, возле {s3}, в Ирландии.
qstr_The_port_master_from|Заведующий порта в Рибе рассказал вам о местоположении убежища Свена: к юго-востоку от {s3}. Нужно отправиться туда и спасти пленников с 'Вотан Рика'.
qstr___He_gives_you_a_str|--Он странно смотрит на вас.--
qstr_The_port_master_of_{|Заведующий порта в {s4} хочет, чтобы вы доставили меха в {s3}, Ирландия, местному торговцу по имени Хогни.
qstr_The_port_master_from_|Заведующий порта в {s4} рассказал вам о местоположении пещеры Одина: возле {s3}. Нужно отправиться туда и забрать письмо Бодо.
qstr_The_port_master_from_R|Заведующий порта в Рибе рассказал вам о местоположении пещеры Одина: возле {s3}. Нужно отправиться туда и забрать письмо Бодо.
qstr_Embark_on_your_boat_|Присоединитесь к флоту, направляющемуся в Дуарнене.
qstr_Perhaps_there_is_a_l|Возможно, осталось совсем не много времени до конца света. (Флегматик)
qstr_You_re_right!_The_co|Вы правы! Пришествие Викингов показывает, что это действительно конец! (Меланхолик)
qstr_The_Bible_also_says_|Библия так же гласит, что придет Король и объединит все земли. Я и есть этот Король. (Холерик)
qstr_A_change_in_the_worl|Перемены в мире лишь создают больше возможностей для смельчаков. Вот и все. (Сангвиник)
qstr_I_appreciate_your_re|Я высоко ценю ваши обнадеживающие слова, но боюсь, что конец света уже начался, и ничего, что мы сделаем или скажем не изменит этого. Все, что мы можем сделать, это ждать и бороться, пока армия Господа Бога нам не поможет.
qstr_Exactly!_West_Seaxe_|Точно! Уэссекс - последний бастион веры, но он падет под натиском, несмотря на все усилия. Мы все умрем! Оставь меня в покое, я не хочу больше говорить.
qstr_Your_self_confidence|Ваша самоуверенность утешает меня, но я должен сообщить вам, что Король будет побежден армией зла, и только армия Господа Бога сможет спасти мир. Однако, если вы когда-нибудь станете Королем, будет приятно сражаться и умереть за вас.
qstr_I_m_surprised_that_y|Я поражен тем, что вы можете найти выгоду в несчастьях других. Вы, безусловно, более безжалостны, чем я думал.
qstr_You_need_to_rid_your|Вам нужно избавиться от своего высокомерия. (Флегматик)
qstr_I_am_always_willing_|Я всегда готов учиться. Спасибо, Эгиль. (Меланхолик)
qstr_I_think_it_s_clear_t|Я думаю ясно, что судьба больше благоволит мне, чем вам. (Холерик)
qstr_Silence!_You_shall_n|Тишина! Вы должны уважать мой авторитет! (Сангвиник)
qstr_Yes_I_pretended_to_b|Да, я притворялся скромным. И это то, что дается мне легко, но высокомерие - важно для лидера. Вы должны научиться быть немного высокомерным, когда это необходимо, люди должны видеть вашу уверенность, таков мой совет. Ваши приказы должны быть четкими, и каждый, кто не следует им должен быть наказан. Это то, что я ценю в лидере, и я рад, что вы меня выслушали. Но хватит разговоров.
qstr_I_understand._Someon|Я понимаю, люди вроде вас не имеют моего опыта и знаний. И очень важно, что вы пытаетесь учиться у меня, {playername}. Старайтесь быть похожим на меня, того, кем люди восхищаются и уважают. Так же, хотел бы посоветовать вам быть лучшим в бою, подавая пример своим воинам, и без жадности делиться серебром со своими людьми. Таковы мои советы. А сейчас у меня есть дела.
qstr_Your_men_see_the_way|Ваши люди видят, как Эгиль относится к вам, и ваш авторитет падает.
qstr_And_people_say_that_|А люди говорят, что я высокомерен! Ну, что я могу сказать? Мне это нравится. Это то, что я больше всего ценю в лидере: способность демонстрировать уверенность в себе и убеждать людей при помощи харизмы. Вы правы, мне нечему вас научить.
qstr_I_only_pretended_to_|Я лишь пытался дать вам совет, но вижу, что вы не желаете слушать. Вы отдали приказ, демонстрируя свою власть, но это не значит, что вы хороший лидер. Я подчинюсь, замолчу и вернусь к своим делам.
qstr_I_am_just_a_poor_far|Я всего лишь простой фермер, поговорите с управителем.
qstr_I_just_work_the_fiel|Я всего лишь работаю на полях, поговорите с управителем.
qstr_Stranger_go_talk_to_|Незнакомец, поговорите с управителем, если хотите здесь поработать.
qstr__Relation:_{reg0}|Процветание: {reg0}
qstr_{s12}I_want_to_plund|{s12}Я хочу разграбить и оставить {s1} себе. {s2}
qstr__no_fiefs_|(нет владений)
qstr__fiefs:_{s0}_|(владения: {s0})
qstr___The_child_looks_at|--Ребенок смотрит на вас счастливыми глазами и улыбается.--
qstr_My_mother_told_me_no|Мама не велит мне разговаривать с незнакомцами. Пока!
qstr_Running_is_fun!_I_ca|Бегать весело! Я могу бежать быстрее вас! Хотите посмотреть?
qstr_We_are_landless_poor|Мы безземельные крестьяне, бедные и гонимые. Жизнь привела нас к этому, {reg59?девочка:приятель}. Не делайте резких движений и мы пройдем мимо вас.
qstr_Luckily_for_you_you_|К вашему счастью, вы застали меня в хорошем настроении. Отдайте нам все ваши монеты и мы оставим вас в живых.
qstr_This_a_robbery_eh?_I|Это грабеж, да? Я дам тебе лишь один шанс отдать все, что имеешь, иначе мы с товарищами тебя прикончим. Ясно?
qstr_big|большой
qstr_medium_sized|средний
qstr_small|маленький
qstr_don_t_|не
qstr_Note_4:_{s9}_has_sen|Заметка 4: {s9} послал людей убить вас. Они подстерегали вас у реки, и хотя вы пережили атаку, ваш сон теперь менее спокоен.
qstr___A_large_group_of_S|--Вам на пути встречается большая группа саксов. Их лидер выходит вперед и поднимает руку.--
qstr_we_have_made_very_li|У нас очень незначительный прогресс на данный момент.
qstr_we_have_succeeded_in|Нам удалось заполучить немного владений, но впереди еще длинный путь.
qstr_we_have_become_a_sig|Мы стали значительной силой и даже имеем шанс на победу.
qstr_we_are_winning_the_w|Мы побеждаем в войне, но наши враги все еще держатся.
qstr_we_are_on_the_verge_|Мы стоим на пороге победы. Оставшиеся враги не представляют никакой угрозы, но нам все еще нужно выследить их.
qstr_Warlord|Военачальник
qstr_Note_5:_You_fell_in_|Заметка 5: Вы влюбились в Морриган.
qstr_{s21}_seems_happy._{|{s21} выглядит радостно. {s21} выглядит довольно.
qstr___She_smiles.__|--Она улыбается.--
qstr___He_mutters_somethi|--Он что-то бормочет себе под нос, словно разговаривая с кем-то невидимым.--
qstr___He_seems_very_nerv|--Он выглядит очень нервным и испуганным.--
qstr_Please_calm_down._I_|Пожалуйста, успокойся, я тебе не враг. Сделай глубокий вдох и расскажи о моей матери. (Флегматик)
qstr_You_re_making_me_wor|Ты заставляешь меня беспокоиться... сильно беспокоиться... Пожалуйста, успокойся, я тебе не враг. Сделай глубокий вдох и расскажи о моей матери. (Меланхолик)
qstr_Relax_you_re_talking|Расслабься! Ты говоришь с другом, и я смогу защитить тебя от любого, кто захочет навредить тебе. (Холерик)
qstr_Calm_down_and_tell_m|Успокойся и расскажи мне о моей матери. Иначе, клянусь, на мои вопросы будет отвечать твой труп! (Сангвиник)
qstr_Thank_you_for_being_|Спасибо за понимание. У меня сегодня был тяжелый день, но я уже в порядке. Слушайте, мне нужно сказать кое-что важное.
qstr_Please_please_do_not|Пожалуйста, пожалуйста, не тревожьтесь! Когда Свен тревожился, он отрезал пальцы тем, кто тревожил его. Слушайте, я уже в порядке и должен сказать кое-что важное.
qstr_Oh_well_yes_I_trust_|Ну, да, я доверяю вам. Она сказала мне верить вам. Я расскажу вам все.
qstr_Oh_my_god..._Do_not_|О боже... Не убивайте меня! Не убивайте меня! Я буду тише воды, буду целовать землю, по который вы ходите. Я буду вашим слугой, или даже рабом. Я расскажу вам все, что знаю.
qstr___He_seems_calmer.__|--Он выглядит спокойным.--
qstr_In_Boar_Grove_you_fo|В Кабаньей Роще вы нашли священника по имени Бейда, который был слугой вашей матери. Он был освобожден, чтобы найти вас и напомнить о любви вашей матери. Вам, наконец, удалось получить новости о ней, и теперь вы на один шаг ближе к ее нахождению.^^Наконец-то вы готовы отплыть в Дуарнене.
qstr___He_smiles.__|--Он улыбается.--
qstr___He_closes_his_eyes|--Он ненадолго закрывает глаза, словно подбирая нужные слова.--
qstr___He_takes_a_deep_br|--Он делает глубокий вдох, затем медленно, спокойно отвечает.--
qstr_Asbjorn_has_joined_y|Асбьерн присоединился к вашему отряду, чтобы убедиться, что вы присоединитесь к флоту. Кроме того, он предложил сопровождать ваш отряд и служить в качестве целителя. Теперь пришло время отправиться к заведующему порта в {s3}, чтобы примкнуть к флоту Викингов, отправляющегося в Англию.
qstr___Bodo_seems_excited|--Бодо выглядит взволнованным.--
qstr___He_smiles_at_you._|--Он улыбается вам.--
qstr___He_takes_the_lette|--Он берет письмо из ваших рук.--
qstr___He_looks_up_from_t|--Он отрывает взгляд от страницы и обращается к вам.--
qstr_Bodo_s_letter_has_fa|Письмо Бодо в ваших руках, и вы решили, что будете выяснять, что с ним делать, после того, как разберетесь с Ассамблеей и текущими проблемами. Вы скажете {s9}, что письмо сгорело при нападении на пещеру Одина, заверив его, что {s11} не сможет использовать это против него.
qstr_Brunhild_thinks_that|Брунхильда думает, что вы - слабый лидер.
qstr_Reginhard_thinks_tha|Регинхард думает, что вы - слабый лидер.
qstr_Bodo_thinks_that_you|Бодо думает, что вы - слабый лидер.
qstr_Brunhild_has_advised|Брунхильда посоветовала вам в первую очередь идти к врагу {s9} -- {s11}, чтобы получить поддержку Конунга, прежде чем оказаться в руках сыновей Рагнара.
qstr_I_m_not_sure_I_want_|Я не уверен, что хочу слышать то, что ты скажешь. (Флегматик)
qstr_You_re_worrying_me_B|Ты тревожишь меня, Бодо. Что ты должен сказать? Выкладывай уже! (Меланхолик)
qstr_I_m_very_calm..._Tru|Я очень спокоен... Поверь мне - ты бы не хотел видеть меня нервным, Бодо. У меня кончается терпение. Говори, или я побью тебя. (Холерик)
qstr_Whatever_you_have_to|Что бы ты не должен был сказать - скажи это. Я подготовился к этому моменту уже давно. (Сангвиник)
qstr_I_understand_my_frie|Я понимаю, друг мой, но вы должны знать... все.
qstr_Stay_calm_please._I_|Успокойтесь, пожалуйста. Я все вам расскажу.
qstr_No_need_to_be_aggres|Не нужно агрессии. Вы знаете, моя преданность друзьям - бесспорна. А теперь, внимайте.
qstr_I_admire_your_strong|Я восхищен силой вашей крови. Я все вам расскажу.
qstr___He_puts_his_hand_o|--Он кладет руку вам на плечо и печально улыбается.--
qstr___He_sighs_impatient|--Он нетерпеливо вздыхает.--
qstr___He_steps_back_take|--Он отступает, делает глубокий вдох и смотрит вам в глаза.--
qstr_Sven_wanted_you_but_|Свен разыскивал тебя, но откуда он мог знать, где тебя искать? Кто предал нас? (Мудрость)
qstr_Your_redemption_and_|Твое искупление и моя цель совпадают. (Стойкость)
qstr_I_understand_that_wh|Я понимаю, что произошедшее было вызвано тобой, но это не твоя вина. (Сдержанность)
qstr_You_re_responsible_f|Ты в ответе за то, что случилось. После Свена, ты должен будешь расплатиться за это своей жизнью. (Справедливость)
